ADV|Enseignement	ADV|hors:0.236633768964	ADV|etablissement:0.157231660138	ADV|hiérarchiquement:0.151981034574	ADV|purement:0.101306766827	ADV|typiquement:0.100392807204	ADV|strictement:0.098421178624	ADV|spécifiquement:0.0965603463849	ADV|outrageusement:0.0899307001762	ADV|technologiquement:0.0871732021587	ADV|légérement:0.0843689741927	ADV|numériquement:0.0814730324754	ADV|essentiellement:0.0802435277854	ADV|ensemble:0.0749809895707	ADV|indiscutablement:0.0726776841247	ADV|rogatoire:0.0690035426084	ADV|y_compris:0.0641480448656	ADV|pontissaliens:0.0618642669406	ADV|grassement:0.0607873422743	ADV|légèrement:0.0604619519334	ADV|nettement:0.0557971651576	ADV|structurellement:0.0554672815744	ADV|largement:0.0545270377397	ADV|uvre:0.0532894495837	ADV|musicalement:0.0532180683149	ADV|exclusivement:0.0516987689005	ADV|infiniment:0.0514703408674	ADV|horriblement:0.0478091361761	ADV|substantiellement:0.0458515917839	ADV|indéniablement:0.0452678622352	ADV|sensiblement:0.0433891191447	ADV|qualitativement:0.0425616090082	ADV|techniquement:0.0425300769218	ADV|significativement:0.042037259654	ADV|voire:0.0414557869711	ADV|éminemment:0.04047242085	ADV|non:0.039822840292	ADV|diablement:0.0378363788099	ADV|prosaïquement:0.0366302748364	ADV|néocastrienne:0.0358661453169	ADV|bien:0.0345150137819	ADV|incontestablement:0.0344554847701	ADV|un_peu:0.0341248318475	ADV|sportivement:0.0335992311737	ADV|sinon:0.0325578388764	ADV|de_loin:0.0317126275209	ADV|relativement:0.0315591977617	ADV|à_la_fois:0.0310665450383	ADV|notamment:0.0306508705707	ADV|en_commun:0.0298341147213	ADV|immensément:0.0291489962092	ADV|a_priori:0.0291362178744	ADV|très:0.0284509435781	ADV|hautement:0.0279793500692	ADV|hyper:0.0274719922707	ADV|assurément:0.0267529976616	ADV|globalement:0.0267460247979	ADV|un_petit_peu:0.0258795968032	ADV|efficacement:0.0255202947888	ADV|traditionnellement:0.0253892563145	ADV|entraïnement:0.0250658309023	ADV|généralement:0.0248916278721	ADV|dûe:0.0248630296509	ADV|collectivement:0.0244559443932	ADV|sûrement:0.0239652697783	ADV|principalement:0.0237379868145	ADV|rigoureusement:0.0234764056145	ADV|à_peine:0.0234331907075	ADV|par_exemple:0.023072145534	ADV|rondement:0.0225848770096	ADV|constamment:0.0219691294122	ADV|émotionnellement:0.0217573395504	ADV|en_particulier:0.0217244436968	ADV|densément:0.0216193041738	ADV|précisément:0.0215998767338	ADV|paneuropéenne:0.021549115716	ADV|vraisemblablement:0.020688134759	ADV|classiquement:0.0205356889218	ADV|amplement:0.0203281000316	ADV|familièrement:0.0201863428237	ADV|loin:0.0192751686256	ADV|trop:0.0192039143156	ADV|extraordinairement:0.0191839377538	ADV|que:0.0189091699302	ADV|tôt:0.0184641442495	ADV|impeccablement:0.0179379739516	ADV|souvent:0.0176308596999	ADV|ni:0.0175781377944	ADV|particulièrement:0.0175488525977	ADV|sainement:0.0175276926282	ADV|ô:0.0174871958722	ADV|tant:0.0172303558019	ADV|même:0.0171504983728	ADV|autrement:0.0170791986471	ADV|extrêmement:0.0170295343658	ADV|uniquement:0.0166368053992	ADV|crûment:0.0161112377128	ADV|spécialement:0.0158954636339	ADV|physiquement:0.0158553593837	ADV|négativement:0.0155779361661	ADV|certes:0.0155190176083
ADV|Palestiniens	ADV|déodatiens:0.105006720327	ADV|ultramarins:0.0997861335326	ADV|belfortains:0.0947869071948	ADV|nîmois:0.0826546076932	ADV|sammiellois:0.0753127841731	ADV|sauvagement:0.0748104173126	ADV|majoritairement:0.0724925693583	ADV|néodomiens:0.070708999583	ADV|grièvement:0.0686192715971	ADV|en_grande_partie:0.0679064991134	ADV|surtout:0.0672955658709	ADV|auxerrois:0.0671721031071	ADV|trader:0.0671483606123	ADV|probablement:0.0659346916245	ADV|dombaslois:0.0647300288931	ADV|accidentellement:0.0643183794297	ADV|essentiellement:0.060426402758	ADV|froidement:0.0581473200561	ADV|non:0.0577400003002	ADV|lors:0.0574123664	ADV|aussi:0.0562464675961	ADV|jarvillois:0.0548867364988	ADV|écologiquement:0.0544895246271	ADV|récemment:0.054363719399	ADV|dellois:0.0536192124877	ADV|ordinairement:0.0533451026127	ADV|généralement:0.0529555132686	ADV|lâchement:0.0525413153917	ADV|principalement:0.0521440299151	ADV|moralement:0.0517784134619	ADV|pontissaliens:0.0517689504533	ADV|toulois:0.0514417222994	ADV|néonazis:0.0512249550878	ADV|notamment:0.0511030745973	ADV|en_particulier:0.0508135921944	ADV|laborieusement:0.0497724282037	ADV|encore:0.0493441985346	ADV|ne_plus:0.0493096513413	ADV|internationalement:0.048529907389	ADV|seulement:0.0482476364343	ADV|spectaculairement:0.0469230407503	ADV|mystérieusement:0.0469069491188	ADV|négligemment:0.0461116947901	ADV|atrocement:0.0454003115823	ADV|contrexéville:0.0452959033276	ADV|zimbabwéens:0.0451802664057	ADV|unanimement:0.0451742873924	ADV|mussipontains:0.0451285175246	ADV|involontairement:0.0450888294578	ADV|en_question:0.0449830330161	ADV|authentiquement:0.0448915249855	ADV|officiellement:0.0443503694305	ADV|au_total:0.0443258384585	ADV|au_moins:0.0442770503661	ADV|contrexévillois:0.0440413927729	ADV|enfin:0.0435230744118	ADV|tragiquement:0.0434361942806	ADV|auparavant:0.042840423296	ADV|environ:0.0428075446488	ADV|doubien:0.0427028150544	ADV|volontairement:0.0422764044087	ADV|publiquement:0.0422484621161	ADV|néocastrien:0.0405683443619	ADV|injustement:0.0405544595531	ADV|apparemment:0.0405057521598	ADV|durement:0.0401363526057	ADV|alias:0.0400685602925	ADV|en_même_temps:0.0400189751656	ADV|méchamment:0.0396930580205	ADV|simplement:0.0396864035522	ADV|bien_sûr:0.0395988595691	ADV|lentement:0.0395635677859	ADV|prudemment:0.0388871912833	ADV|perpétuellement:0.038877421823	ADV|partiellement:0.0388447974332	ADV|quelque:0.03882535436	ADV|laconiquement:0.038781390812	ADV|ne_pas:0.0387812876353	ADV|précédemment:0.0387156278014	ADV|néocastriens:0.0384350074295	ADV|et_même:0.0383348768251	ADV|en_plus:0.0382345108904	ADV|habituellement:0.0381741988219	ADV|opportunément:0.0372541748091	ADV|ouvertement:0.0372244154365	ADV|jadis:0.0371661572305	ADV|en_principe:0.0371434834817	ADV|puis:0.0371104626048	ADV|ailleurs:0.037080402659	ADV|le_plus_souvent:0.0369681318291	ADV|en_jeu:0.036860846767	ADV|affreusement:0.0367546173989	ADV|déjà:0.0364506948322	ADV|géromois:0.0361372669323	ADV|actuellement:0.0359962002613	ADV|en_général:0.0357219386661	ADV|par_ailleurs:0.0354475577505	ADV|là:0.0352345721161	ADV|légérement:0.035227223934	ADV|vraisemblablement:0.0351992224023
ADV|Petroplus	ADV|maïtre:0.087681404139	ADV|beau:0.0850387653612	ADV|consciemment:0.0846489230602	ADV|crânement:0.0819353641461	ADV|intimement:0.0687265562097	ADV|qu:0.063188345816	ADV|vainement:0.0576155152525	ADV|salafiste:0.0574806316671	ADV|entre_autres:0.0566042661087	ADV|in_extremis:0.0565700046377	ADV|catégoriquement:0.0549511066211	ADV|ne:0.0545435017794	ADV|tonic:0.0540100954245	ADV|jarvillois:0.0530760758397	ADV|zurichois:0.0527146287216	ADV|au_total:0.0514026389694	ADV|géromois:0.0511474861099	ADV|entraïné:0.0496426190299	ADV|pourquoi:0.0488245471263	ADV|doubien:0.0480284847947	ADV|par_ailleurs:0.04594321508	ADV|dance:0.0458192639245	ADV|récemment:0.0457580377502	ADV|de_surcroît:0.04536188336	ADV|ardemment:0.0451621179082	ADV|obstinément:0.0450877805704	ADV|trans:0.044853936626	ADV|humblement:0.0435730468003	ADV|en_moyenne:0.0435094031806	ADV|com:0.0429441592335	ADV|néonazi:0.0427897679246	ADV|soit:0.0424978273664	ADV|concrètement:0.0421984304514	ADV|ne_plus:0.0421929528279	ADV|a_fortiori:0.0419762951626	ADV|daguestanais:0.0419284086691	ADV|néonazis:0.0415226146902	ADV|déjà:0.041148128254	ADV|parallèlement:0.0409217363122	ADV|depuis_peu:0.0400896866934	ADV|massivement:0.039775313738	ADV|en_revanche:0.0396747629703	ADV|notament:0.0389939346087	ADV|dunois:0.0388796183898	ADV|districal:0.0384868359553	ADV|idéologiquement:0.0380638744695	ADV|ententiste:0.0374361682427	ADV|secrètement:0.0373132403423	ADV|notamment:0.0372705441015	ADV|dans_son_ensemble:0.0371070321641	ADV|également:0.037047107807	ADV|en_outre:0.036834183803	ADV|en_compte:0.0364527664091	ADV|prosaïquement:0.0363646249444	ADV|implicitement:0.0361911108683	ADV|toujours:0.035923646796	ADV|deuxièmement:0.035249238038	ADV|précédemment:0.0350321897985	ADV|indûment:0.0344142310014	ADV|conformément:0.034345570245	ADV|toutefois:0.0339996496451	ADV|aéroportuaire:0.0336003676412	ADV|ci:0.0333192097056	ADV|cependant:0.0331774428559	ADV|primo:0.0329029472809	ADV|ostensiblement:0.0326118978408	ADV|quantitativement:0.032484251605	ADV|officiellement:0.0323766313516	ADV|mosellane:0.032007189406	ADV|indéniablement:0.0318992531553	ADV|triomphalement:0.0318313166246	ADV|auparavant:0.0316578697545	ADV|par_la_suite:0.0313725263755	ADV|déja:0.0313529102769	ADV|unanimement:0.0312226942572	ADV|froidement:0.0311678829856	ADV|contre:0.031051761198	ADV|quasiment:0.0309336590893	ADV|désespérément:0.0304216950112	ADV|fièrement:0.0303704831229	ADV|à_terme:0.0301539773744	ADV|toulois:0.0300059183975	ADV|séparément:0.0299404800304	ADV|notoirement:0.0296149774293	ADV|idem:0.0295648477362	ADV|authentiquement:0.0294305538687	ADV|brillamment:0.0293637672629	ADV|initialement:0.0291794143243	ADV|ha:0.0291723184286	ADV|oralement:0.0291475810003	ADV|bizarrement:0.0290862836704	ADV|personnellement:0.029037928264	ADV|théoriquement:0.0290372886766	ADV|en_tout_cas:0.0290278903548	ADV|sic:0.0289909317376	ADV|légalement:0.0287665309849	ADV|sincèrement:0.0287011900478	ADV|préalablement:0.0286153871708	ADV|finalement:0.0285951206173	ADV|indubitablement:0.0285363804621
ADV|Plateforme	ADV|plancherot:0.137330879227	ADV|néonazi:0.0997757104993	ADV|en_place:0.0841465654849	ADV|démocratiquement:0.0700556994937	ADV|zimbabwéens:0.0646793951108	ADV|férocement:0.0625113694323	ADV|néonazis:0.0615175811764	ADV|généreusement:0.059753543299	ADV|en_la_matière:0.0582769226626	ADV|crescendo:0.0577565892068	ADV|faussement:0.0575685872455	ADV|néerlandophone:0.0521172138107	ADV|en_général:0.0410433490644	ADV|légalement:0.0383215985673	ADV|ne:0.0366567888049	ADV|au_moment_où:0.0365572965857	ADV|fraîchement:0.0357121375588	ADV|ouvertement:0.034634348841	ADV|sitôt:0.034420327966	ADV|éternellement:0.0320518353016	ADV|nouvellement:0.0315908380016	ADV|prudemment:0.0314536883644	ADV|etc:0.0308018420523	ADV|volontairement:0.0304997517462	ADV|de_facto:0.0304821666978	ADV|en_même_temps:0.029948385521	ADV|précipitamment:0.0291650023853	ADV|farouchement:0.0291215531924	ADV|clandestinement:0.0268179477307	ADV|devant:0.0259071819158	ADV|indéfiniment:0.0254081956732	ADV|incroyablement:0.0245730025994	ADV|de_loin:0.023982873541	ADV|nécessairement:0.0238744887225	ADV|unilatéralement:0.0238019863967	ADV|pacifiquement:0.0236469553	ADV|illico:0.0230114777234	ADV|joyeusement:0.0229945724686	ADV|séparément:0.0224928325558	ADV|seulement:0.0214001203549	ADV|discrètement:0.0213011782893	ADV|plus_ou_moins:0.0206539479573	ADV|symboliquement:0.0203715196228	ADV|pour_la_première_fois:0.0200958376348	ADV|pleinement:0.0200509984079	ADV|tant:0.0195326087207	ADV|au_jour_le_jour:0.0183334037315	ADV|de_moins_en_moins:0.0180503333826	ADV|incontestablement:0.0180410826577	ADV|actuellement:0.0177679531818	ADV|terriblement:0.016351143709	ADV|mais:0.0161177719826	ADV|spécialement:0.0154491138056	ADV|ensemble:0.0149357191511	ADV|historiquement:0.0140980134145	ADV|ailleurs:0.0139334948768	ADV|carrément:0.0138089951427	ADV|de_plus_en_plus:0.0137350977122	ADV|brusquement:0.013730706515	ADV|le_cas_échéant:0.0137139553157	ADV|simultanément:0.0137003708194	ADV|exceptionnellement:0.013025834264	ADV|hier:0.0129386706978	ADV|par_exemple:0.0126875156192	ADV|de_nouveau:0.0126156609888	ADV|malheureusement:0.0124438010568	ADV|nettement:0.012315176316	ADV|dehors:0.0122780449712	ADV|trop:0.0122143679496	ADV|à_la_fois:0.0120446452202	ADV|de_fait:0.0118525335611	ADV|récemment:0.0115648836636	ADV|en_réalité:0.0114556755852	ADV|véritablement:0.0113919444346	ADV|jadis:0.0107741282197	ADV|librement:0.0107303999193	ADV|précédemment:0.010614938051	ADV|depuis_peu:0.0105256015451	ADV|quasi:0.0104793611919	ADV|localement:0.00999087141709	ADV|sensiblement:0.00987561800222	ADV|au_moins:0.00975264542178	ADV|non_plus:0.00947085734352	ADV|tôt:0.00943071055957	ADV|respectivement:0.00930954034887	ADV|avant:0.00911033138308	ADV|peu:0.00888632050395	ADV|notamment:0.0087765294128	ADV|relativement:0.00851695473966	ADV|majoritairement:0.00845688811851	ADV|lentement:0.00844929817768	ADV|traditionnellement:0.00829290203493	ADV|proprement:0.00817292478491	ADV|effectivement:0.0080324339901	ADV|immédiatement:0.00762790747387	ADV|dernièrement:0.00749699378084	ADV|illégalement:0.00745905434352	ADV|pourtant:0.00743152176754	ADV|par_la_suite:0.00715785158968	ADV|longtemps:0.00703847968503
ADV|Quelque	ADV|quelque:0.308875367037	ADV|environ:0.22183613845	ADV|au_total:0.178403761283	ADV|au_moins:0.136544217026	ADV|sur_place:0.119619322589	ADV|illégalement:0.0939588064342	ADV|principalement:0.0917361932405	ADV|belfortains:0.0907679324866	ADV|beaucoup:0.0899950631469	ADV|sup:0.0889571300061	ADV|actuellement:0.0883746843886	ADV|essentiellement:0.0833228939957	ADV|notamment:0.0827617758864	ADV|en_particulier:0.0820198111959	ADV|en_plus:0.0812440502499	ADV|quotidiennement:0.0807199329099	ADV|parallèlement:0.0806526338358	ADV|séparément:0.0796780062215	ADV|daguestanais:0.077760803803	ADV|en_moyenne:0.0766185794026	ADV|froidement:0.0762317652872	ADV|mussipontains:0.0756572397895	ADV|ne_plus:0.0745734047559	ADV|habituellement:0.073893870747	ADV|toulois:0.0731161303134	ADV|vraisemblablement:0.072920122869	ADV|bi:0.0720422258421	ADV|etc:0.0720138691185	ADV|annuellement:0.0714843404552	ADV|partout:0.0713149139439	ADV|par_ailleurs:0.0707273866735	ADV|_:0.0704232283615	ADV|matin:0.0697408503106	ADV|en_question:0.0689951192417	ADV|dellois:0.0689467489992	ADV|pour_la_première_fois:0.0685041354428	ADV|auparavant:0.0684833039638	ADV|hier:0.0683985349105	ADV|accidentellement:0.0682317777244	ADV|brièvement:0.0680361222108	ADV|épisodiquement:0.0677320698912	ADV|respectivement:0.0677090438642	ADV|entre_autres:0.0675878586979	ADV|lâchement:0.0646097931359	ADV|néocastriens:0.064282437069	ADV|déodatiens:0.0640723091992	ADV|en_général:0.0638525169375	ADV|ensuite:0.063339860257	ADV|lors:0.0632923251572	ADV|commerciens:0.0627786465064	ADV|depuis:0.0627056164573	ADV|conformément:0.0626831692194	ADV|debout:0.0624929469133	ADV|massivement:0.0622978989202	ADV|pacifiquement:0.0619552143946	ADV|puis:0.0616245915885	ADV|autant:0.0611433121525	ADV|y_compris:0.0610300459463	ADV|régulièrement:0.0608126045272	ADV|anonymement:0.0607311363291	ADV|rogatoire:0.0605380320102	ADV|clandestinement:0.0598200643177	ADV|plus:0.0594220036027	ADV|gratuitement:0.0592655148765	ADV|par_exemple:0.0591884975985	ADV|géromois:0.0587903469104	ADV|méthodiquement:0.0585482155773	ADV|ainsi:0.0578641609265	ADV|déjà:0.0578043704109	ADV|immédiatement:0.0576899943237	ADV|indépendamment:0.0575864876498	ADV|uniquement:0.057487349718	ADV|alias:0.0570943209232	ADV|ici:0.0570918256217	ADV|davantage:0.0569832669026	ADV|seulement:0.0569628682021	ADV|en_grande_partie:0.0564971820978	ADV|combien:0.0558768402687	ADV|en_outre:0.0558225743926	ADV|le_plus_souvent:0.0557343078035	ADV|dernièrement:0.055623310156	ADV|temporairement:0.055362064124	ADV|parmentier:0.054632985258	ADV|silencieusement:0.0545712123682	ADV|pagnotins:0.054281501729	ADV|non_seulement:0.0542541107878	ADV|discrètement:0.05316000662	ADV|bien_sûr:0.0528816817625	ADV|directement:0.0527759751784	ADV|préventivement:0.0526365026803	ADV|pontissaliens:0.0525344671049	ADV|contrexévillois:0.0523607765973	ADV|obligatoirement:0.052130439997	ADV|rapidement:0.0520095123271	ADV|symboliquement:0.0519019026248	ADV|intentionnellement:0.0514730793703	ADV|fréquemment:0.0513230450962	ADV|par_la_suite:0.0513223273152	ADV|plancherot:0.0513015462774	ADV|sauvagement:0.0512693822539
ADV|_	ADV|hier:0.310257917524	ADV|demain:0.30701004929	ADV|même:0.283323814482	ADV|enfin:0.280642272589	ADV|seulement:0.276573907165	ADV|en_plus:0.244420330151	ADV|autant:0.240679987171	ADV|par_exemple:0.238402384696	ADV|pourtant:0.238312044298	ADV|pour_la_première_fois:0.235583092419	ADV|bien_sûr:0.232215524205	ADV|en_particulier:0.230541718677	ADV|surtout:0.228583466011	ADV|une_fois:0.226668683514	ADV|oui:0.223718269513	ADV|certes:0.223252486949	ADV|donc:0.222924944089	ADV|etc:0.222841072657	ADV|ici:0.218043020757	ADV|juste:0.215140140096	ADV|respectivement:0.212931847083	ADV|notamment:0.211419976525	ADV|tant:0.210116202456	ADV|alors:0.20545363372	ADV|matin:0.20216354249	ADV|sans_doute:0.197460990103	ADV|tard:0.195971024611	ADV|partout:0.194089135624	ADV|malheureusement:0.193940130311	ADV|parallèlement:0.189052509714	ADV|beaucoup:0.188164535211	ADV|dernièrement:0.18370392804	ADV|entre_autres:0.183562817113	ADV|actuellement:0.181720963776	ADV|au_total:0.180693757426	ADV|tôt:0.180628039071	ADV|évidemment:0.180582496774	ADV|en_tout_cas:0.180233892507	ADV|bientôt:0.179689130888	ADV|uniquement:0.17846230664	ADV|depuis:0.178102675442	ADV|heureusement:0.175239738672	ADV|plus_tard:0.174687202881	ADV|en_revanche:0.173890611807	ADV|là:0.173610349816	ADV|presque:0.173263115057	ADV|maintenant:0.172848188401	ADV|du_coup:0.171679523354	ADV|conformément:0.171017248679	ADV|au_moins:0.170523905621	ADV|justement:0.169069626685	ADV|parfois:0.167877760165	ADV|ensemble:0.16597860254	ADV|il_est_vrai:0.164172928258	ADV|ainsi:0.163039152098	ADV|puis:0.16221274829	ADV|autrement_dit:0.161373189859	ADV|à_nouveau:0.159293486733	ADV|à_venir:0.158876809131	ADV|exactement:0.158660575198	ADV|ensuite:0.158533285967	ADV|finalement:0.157958986866	ADV|loin:0.157924903807	ADV|un_peu_plus:0.156183874671	ADV|en_même_temps:0.154965966126	ADV|déjà:0.154751757871	ADV|tout:0.15445994249	ADV|y_compris:0.154291689671	ADV|précisément:0.153675627768	ADV|tout_de_même:0.153406686958	ADV|eh:0.152433793798	ADV|après:0.152417611949	ADV|à_la_fois:0.152181193039	ADV|auparavant:0.151082289691	ADV|sur_place:0.150151423296	ADV|probablement:0.149530336876	ADV|peu:0.149500540974	ADV|à_peine:0.1484807496	ADV|souvent:0.148128015387	ADV|en_général:0.147965587924	ADV|ailleurs:0.147874348267	ADV|au_contraire:0.147632361873	ADV|non_seulement:0.146810014257	ADV|dès_lors:0.146475543482	ADV|de_nouveau:0.146168932138	ADV|piano:0.146134933928	ADV|en_moyenne:0.14605427004	ADV|lors:0.144415383459	ADV|oh:0.144122894491	ADV|près:0.144045211059	ADV|simplement:0.143054267333	ADV|encore:0.142336630129	ADV|moins:0.138089044483	ADV|pourquoi:0.137183826653	ADV|du_moins:0.137173823002	ADV|toujours:0.13604621161	ADV|longtemps:0.135580993305	ADV|récemment:0.135224955802	ADV|décidément:0.134588844255	ADV|également:0.134083205111
ADV|a_fortiori	ADV|surtout:0.160774134815	ADV|aussi:0.130838119971	ADV|et_même:0.123636699543	ADV|seulement:0.112149366503	ADV|donc:0.105909903008	ADV|en_particulier:0.103456071683	ADV|enfin:0.100286343738	ADV|éventuellement:0.0953509236567	ADV|bien_sûr:0.0938740804726	ADV|non_plus:0.0932341263355	ADV|même:0.0921045712049	ADV|paradoxalement:0.0918689466732	ADV|du_moins:0.0915339182498	ADV|non:0.0902756400999	ADV|inversement:0.0893506274783	ADV|qui_plus_est:0.0880663708042	ADV|au_contraire:0.0842747830836	ADV|ailleurs:0.0839358324105	ADV|en_même_temps:0.07877335099	ADV|accessoirement:0.0787093024203	ADV|prou:0.077262923827	ADV|indirectement:0.0757995561219	ADV|maintenant:0.0757726613647	ADV|notamment:0.0755661734453	ADV|demain:0.0742033287379	ADV|il_est_vrai:0.0741799255708	ADV|une_fois:0.0717956674632	ADV|presque:0.0715663411826	ADV|occasionnellement:0.0703491985141	ADV|encore:0.0696065637909	ADV|parfois:0.0692015307915	ADV|simplement:0.0673939256166	ADV|probablement:0.0670499789892	ADV|parallèlement:0.0669342528079	ADV|en_réalité:0.0655779372226	ADV|quelquefois:0.0638652723024	ADV|là:0.0631418165776	ADV|uniquement:0.0631025323373	ADV|sans_doute:0.0630565460599	ADV|réciproquement:0.0619776970042	ADV|évidemment:0.0618410430399	ADV|a_priori:0.061005001923	ADV|plutôt:0.0608583939425	ADV|inévitablement:0.0601666861701	ADV|en_plus:0.0596849081475	ADV|heureusement:0.0596760141513	ADV|malheureusement:0.05967168686	ADV|plus_tard:0.0588938887957	ADV|tant:0.0588006371041	ADV|pour_la_première_fois:0.0584863541469	ADV|démocratiquement:0.0584124996024	ADV|_:0.0582938403185	ADV|le_cas_échéant:0.0582692633465	ADV|depuis_peu:0.0582439266083	ADV|modificative:0.0578888667833	ADV|principalement:0.0575133297297	ADV|autant:0.0574657472991	ADV|ponctuellement:0.0563293424984	ADV|à_terme:0.05514338375	ADV|à_venir:0.0540594017653	ADV|ordinairement:0.0537121564784	ADV|mieux:0.0535023301745	ADV|bientôt:0.0533353112143	ADV|indépendamment:0.0531736649094	ADV|culturellement:0.0522651162306	ADV|souvent:0.0516411435145	ADV|oui:0.051076801213	ADV|généralement:0.0509295131364	ADV|individuellement:0.0509060453204	ADV|de_loin:0.0506925143958	ADV|du_coup:0.0505133851745	ADV|en_général:0.0499572265453	ADV|bi:0.0498330719726	ADV|tard:0.0497659229119	ADV|particulièrement:0.049648492435	ADV|bel_et_bien:0.049615718547	ADV|le_plus_souvent:0.0493631096192	ADV|pourquoi:0.0490610513749	ADV|chichement:0.0486186927718	ADV|ententiste:0.0482427871568	ADV|localement:0.0479606820209	ADV|en_revanche:0.0470176609236	ADV|rarement:0.0468962190122	ADV|sitôt:0.0467119677527	ADV|moins:0.0458215015891	ADV|matin:0.0457538334112	ADV|forcément:0.0455220475483	ADV|y_compris:0.0454348983849	ADV|après:0.0454118062761	ADV|largement:0.045329386003	ADV|inéluctablement:0.0449567495515	ADV|sammiellois:0.0449382468782	ADV|apparemment:0.044889468847	ADV|précisément:0.0445967037696	ADV|deuxièmement:0.0444891316323	ADV|également:0.043877655237	ADV|honnêtement:0.0434598516527	ADV|dans_ces_conditions:0.0432054052047	ADV|essentiellement:0.0429290159737	ADV|au_moins:0.0426955464761
ADV|a_posteriori	ADV|rétroactivement:0.123184100676	ADV|concrètement:0.114037055673	ADV|oralement:0.107973069398	ADV|hier:0.10498510209	ADV|en_ce_sens:0.103332786856	ADV|ultérieurement:0.0917575631668	ADV|de_fait:0.0910079148502	ADV|gratuitement:0.0909361534307	ADV|systématiquement:0.0879468663072	ADV|individuellement:0.0875672302293	ADV|par_exemple:0.0872206070213	ADV|à_ce_sujet:0.0852375871722	ADV|au_jour_le_jour:0.0848715114825	ADV|anonymement:0.0842185996052	ADV|humblement:0.0837959540348	ADV|de_facto:0.0829896064571	ADV|sur_place:0.0828759655042	ADV|que:0.0826119351217	ADV|personnellement:0.0823571348596	ADV|scrupuleusement:0.0820841818393	ADV|par_la_suite:0.0820443007747	ADV|en_tout_cas:0.0818307485153	ADV|le_cas_échéant:0.0817039268258	ADV|judicaire:0.0816499485516	ADV|notamment:0.0815952077087	ADV|parallèlement:0.0788618743114	ADV|non_seulement:0.0777609593618	ADV|conformément:0.077687776289	ADV|à_la_fois:0.0771354220561	ADV|actuellement:0.0768704553469	ADV|annuellement:0.0762429772219	ADV|juridiquement:0.0761026682421	ADV|en_partie:0.0755029740643	ADV|conjointement:0.0751340437441	ADV|calmement:0.0748106247842	ADV|tant:0.0745440871373	ADV|récemment:0.0745261582772	ADV|minutieusement:0.0737728220795	ADV|périodiquement:0.0731707385428	ADV|une_fois:0.0723402363931	ADV|y_compris:0.0716135874978	ADV|ainsi:0.0710642496016	ADV|pleinement:0.0709417106286	ADV|pareillement:0.0708323497679	ADV|à_court_terme:0.069301692413	ADV|fièrement:0.0688985349374	ADV|en_question:0.0684532037638	ADV|ensuite:0.0681625718889	ADV|autrement:0.0676440467006	ADV|prochainement:0.0674248614348	ADV|a_priori:0.0673648200751	ADV|médicalement:0.067319830845	ADV|hui:0.0673084036853	ADV|correctement:0.0672898033719	ADV|en_même_temps:0.0665761149592	ADV|régulièrement:0.0663777634669	ADV|en_particulier:0.0660906592014	ADV|du_coup:0.0659572797353	ADV|différemment:0.0658488526579	ADV|uniquement:0.0657095070852	ADV|ici:0.0652131313871	ADV|rapidement:0.0650923827284	ADV|entre_autres:0.0650083033648	ADV|indirectement:0.0647203753998	ADV|modestement:0.0646819663996	ADV|en_réalité:0.0645053816182	ADV|autant:0.0640951445665	ADV|beaucoup:0.0638557578598	ADV|maintenant:0.0637359660083	ADV|instantanément:0.0629203363083	ADV|unilatéralement:0.062086452296	ADV|réellement:0.0619126527845	ADV|en_la_matière:0.0609436571995	ADV|non_plus:0.0605866045877	ADV|en_revanche:0.0605814580706	ADV|honnêtement:0.0605192449901	ADV|discrètement:0.0602943650367	ADV|collectivement:0.0601419020607	ADV|visuellement:0.060120119193	ADV|bref:0.060002208388	ADV|enfin:0.059728615025	ADV|sobrement:0.059517773113	ADV|depuis:0.0593666001172	ADV|attentivement:0.0592727678443	ADV|à_long_terme:0.0589129638336	ADV|partout:0.058705624468	ADV|de_loin:0.0585426816908	ADV|sportivement:0.0584433828491	ADV|volontiers:0.0584174596337	ADV|méthodiquement:0.0583514985595	ADV|etc:0.0582216452526	ADV|préalablement:0.0579252402477	ADV|ensemble:0.057735093112	ADV|spontanément:0.0577126711956	ADV|précédemment:0.0574834136234	ADV|laconiquement:0.0572780227997	ADV|simultanément:0.0568445070976	ADV|ne:0.0565153845192	ADV|pour_la_première_fois:0.0564555298591	ADV|en_vigueur:0.0564055145259
